date,title,link,summary,text
2024-05-09,Reliance Industries acquires Reliance Chemicals for Rs 314.48 crore,https://www.moneyworks4me.com/company/news/index/id/650809,"It is proposed to make RCML a direct wholly owned subsidiary and hence, the Company has acquired the stake","Reliance Industries acquires Reliance Chemicals for Rs 314.48 crore. It is proposed to make RCML a direct wholly owned subsidiary and hence, the Company has acquired the stake"
2023-05-29,Reliance Industries gains as its arm inks pact with General Mills,https://www.moneyworks4me.com/company/news/index/id/571579,RCPL has forayed into the western snacks category with the launch of Alan&#039;s Bugles in the Indian market,Reliance Industries gains as its arm inks pact with General Mills. RCPL has forayed into the western snacks category with the launch of Alan&#039;s Bugles in the Indian market
2023-05-26,Reliance Industries jumps as its step down subsidiary acquires 51% stake in Lotus Chocolate Company,https://www.moneyworks4me.com/company/news/index/id/570280,The company has subscribed to non-cumulative redeemable preference shares of LOTUS for an aggregate consideration of Rs 25 crore,Reliance Industries jumps as its step down subsidiary acquires 51% stake in Lotus Chocolate Company. The company has subscribed to non-cumulative redeemable preference shares of LOTUS for an aggregate consideration of Rs 25 crore
2023-05-26,Reliance Industries’ step down subsidiary acquires 51% stake in Lotus Chocolate Company,https://www.moneyworks4me.com/company/news/index/id/570266,The company has subscribed to non-cumulative redeemable preference shares of LOTUS for an aggregate consideration of Rs 25 crore,Reliance Industries’ step down subsidiary acquires 51% stake in Lotus Chocolate Company. The company has subscribed to non-cumulative redeemable preference shares of LOTUS for an aggregate consideration of Rs 25 crore
2023-05-16,Reliance Industries’ JV launches additive-laced premium diesel,https://www.moneyworks4me.com/company/news/index/id/566451,"Jio-bp launched its diesel with ACTIVE technology, set to elevate diesel standards for Indian consumers","Reliance Industries’ JV launches additive-laced premium diesel. Jio-bp launched its diesel with ACTIVE technology, set to elevate diesel standards for Indian consumers"
2023-05-09,Reliance Industries gains as its arm enters into partnership with IRM India Affiliate,https://www.moneyworks4me.com/company/news/index/id/564413,The partnership aims to strengthen and promote Enterprise Risk Management in the telecom industry,Reliance Industries gains as its arm enters into partnership with IRM India Affiliate. The partnership aims to strengthen and promote Enterprise Risk Management in the telecom industry
2023-05-09,Reliance Industries’ arm enters into partnership with IRM India Affiliate,https://www.moneyworks4me.com/company/news/index/id/564398,The partnership aims to strengthen and promote Enterprise Risk Management in the telecom industry,Reliance Industries’ arm enters into partnership with IRM India Affiliate. The partnership aims to strengthen and promote Enterprise Risk Management in the telecom industry
2023-05-05,Reliance Industries gets shareholders’ nod to demerge financial services arm,https://www.moneyworks4me.com/company/news/index/id/563513,"Post demerger, RSIL will be rechristened as Jio Financial Services","Reliance Industries gets shareholders’ nod to demerge financial services arm. Post demerger, RSIL will be rechristened as Jio Financial Services"
2022-05-31,"Government allots project worth Rs 2,836 crore to Reliance Industries’ telecom arm",https://www.moneyworks4me.com/company/news/index/id/487558,The project would be funded by Universal Service Obligation Fund and is likely to be completed by November 2023,"Government allots project worth Rs 2,836 crore to Reliance Industries’ telecom arm. The project would be funded by Universal Service Obligation Fund and is likely to be completed by November 2023"
2022-05-30,Reliance Industries’ telecom arm starts mobile telephony service on Kedarnath trek route,https://www.moneyworks4me.com/company/news/index/id/487358,Pilgrims en route to the temple will now stay connected with their loved ones through voice or video calls,Reliance Industries’ telecom arm starts mobile telephony service on Kedarnath trek route. Pilgrims en route to the temple will now stay connected with their loved ones through voice or video calls
2022-05-26,"Reliance Industries contributes Rs 1,184.93 crore towards CSR initiatives in FY22",https://www.moneyworks4me.com/company/news/index/id/485524,"The works included in areas such as rural transformation, health, education, disaster response along with sports for development initiatives","Reliance Industries contributes Rs 1,184.93 crore towards CSR initiatives in FY22. The works included in areas such as rural transformation, health, education, disaster response along with sports for development initiatives"
2022-05-21,Reliance Industries informs about disclosure,https://www.moneyworks4me.com/company/news/index/id/483649,Reliance Industries informs about disclosure,Reliance Industries informs about disclosure. Reliance Industries informs about disclosure
2022-05-21,Reliance Industries informs about loss of share certificates,https://www.moneyworks4me.com/company/news/index/id/483643,Reliance Industries informs about loss of share certificates,Reliance Industries informs about loss of share certificates. Reliance Industries informs about loss of share certificates
2022-05-18,Reliance Industries planning to submit bid for Boots UK: Report,https://www.moneyworks4me.com/company/news/index/id/482432,The acquisition would be the first big ticket overseas investment by Reliance after the company made a string of acquisitions in the American shale gas industry,Reliance Industries planning to submit bid for Boots UK: Report. The acquisition would be the first big ticket overseas investment by Reliance after the company made a string of acquisitions in the American shale gas industry
2022-05-14,Reliance Industries climbs two spots to No. 53 on Forbes' latest Global 2000 list of public companies worldwide,https://www.moneyworks4me.com/company/news/index/id/481409,Reliance is the top-ranked Indian firm on the list,Reliance Industries climbs two spots to No. 53 on Forbes' latest Global 2000 list of public companies worldwide. Reliance is the top-ranked Indian firm on the list
2022-05-13,Reliance Industries trades higher as its telecom arm adds 12.60 lakh subscribers in March,https://www.moneyworks4me.com/company/news/index/id/481028,The company’s total customer base has increased to 40.39 crore with market share of 35.37%,Reliance Industries trades higher as its telecom arm adds 12.60 lakh subscribers in March. The company’s total customer base has increased to 40.39 crore with market share of 35.37%
2022-05-13,Reliance Industries’ telecom arm adds 12.60 lakh subscribers in March,https://www.moneyworks4me.com/company/news/index/id/481020,The company’s total customer base has increased to 40.39 crore with market share of 35.37%,Reliance Industries’ telecom arm adds 12.60 lakh subscribers in March. The company’s total customer base has increased to 40.39 crore with market share of 35.37%
2022-05-10,"Suraj Industries, SRF and Reliance Industries to see some action today",https://www.moneyworks4me.com/company/news/index/id/480254,"HCL Technologies through its wholly-owned subsidiary is planning to acquire, a Bengaluru-based Quest Informatics (Quest) - an aftermarket, Industry 4.0 and IoT company, in an all-cash deal","Suraj Industries, SRF and Reliance Industries to see some action today. HCL Technologies through its wholly-owned subsidiary is planning to acquire, a Bengaluru-based Quest Informatics (Quest) - an aftermarket, Industry 4.0 and IoT company, in an all-cash deal"
2022-05-09,Reliance Industries’ arm enters into franchise agreement with Tod’s SpA,https://www.moneyworks4me.com/company/news/index/id/480057,"RBL is the official retailer of the brand across all categories, including footwear, handbags and accessories in the Indian market","Reliance Industries’ arm enters into franchise agreement with Tod’s SpA. RBL is the official retailer of the brand across all categories, including footwear, handbags and accessories in the Indian market"
2022-05-07,Reliance Industries informs about outcome of board meeting,https://www.moneyworks4me.com/company/news/index/id/479662,Reliance Industries informs about outcome of board meeting,Reliance Industries informs about outcome of board meeting. Reliance Industries informs about outcome of board meeting
2022-05-07,Reliance Industries informs about audio / video recording and transcript,https://www.moneyworks4me.com/company/news/index/id/479652,Reliance Industries informs about audio / video recording and transcript,Reliance Industries informs about audio / video recording and transcript. Reliance Industries informs about audio / video recording and transcript
2022-05-07,Reliance Industries reports 20% rise in Q4 consolidated net profit,https://www.moneyworks4me.com/company/news/index/id/479638,"The company has reported a standalone net profit of Rs 11,094 crore for the quarter ended March 31, 2022","Reliance Industries reports 20% rise in Q4 consolidated net profit. The company has reported a standalone net profit of Rs 11,094 crore for the quarter ended March 31, 2022"
2022-05-07,Reliance Industries informs about consolidated and standalone audited financial results,https://www.moneyworks4me.com/company/news/index/id/479603,Reliance Industries informs about consolidated and standalone audited financial results,Reliance Industries informs about consolidated and standalone audited financial results. Reliance Industries informs about consolidated and standalone audited financial results
2022-05-06,Reliance Industries - Quaterly Results,https://www.moneyworks4me.com/company/news/index/id/479819,Reliance Industries - Quaterly Results,Reliance Industries - Quaterly Results. Reliance Industries - Quaterly Results
2022-05-06,Reliance Industries - Quaterly Results,https://www.moneyworks4me.com/company/news/index/id/479896,Reliance Industries - Quaterly Results,Reliance Industries - Quaterly Results. Reliance Industries - Quaterly Results
2021-05-29,Reliance Industries informs about newspaper publication,https://www.moneyworks4me.com/company/news/index/id/415936,Reliance Industries informs about newspaper publication,Reliance Industries informs about newspaper publication. Reliance Industries informs about newspaper publication
2021-05-22,"Reliance Industries’ arm implements additional 20 MHz spectrum across Telangana, Andhra Pradesh",https://www.moneyworks4me.com/company/news/index/id/414820,This would add upto the existing 40 MHz spectrum and enhance the total spectrum availability in the region by 50 per cent,"Reliance Industries’ arm implements additional 20 MHz spectrum across Telangana, Andhra Pradesh. This would add upto the existing 40 MHz spectrum and enhance the total spectrum availability in the region by 50 per cent"
2021-05-18,Reliance Industries’ arm constructing largest international submarine cable system centred on India,https://www.moneyworks4me.com/company/news/index/id/413997,"These high capacity and high-speed systems will provide more than 200 Tbps of capacity spanning over 16,000 kilometres","Reliance Industries’ arm constructing largest international submarine cable system centred on India. These high capacity and high-speed systems will provide more than 200 Tbps of capacity spanning over 16,000 kilometres"
2021-05-17,Reliance Industries launches AI-enabled WhatsApp chatbot to assist investors on rights issue,https://www.moneyworks4me.com/company/news/index/id/413876,"It had issued and allotted 42.26 crore partly paid-up equity shares of a face value of Rs 10 each for cash at a price of Rs 1,257 per rights equity share in May last year","Reliance Industries launches AI-enabled WhatsApp chatbot to assist investors on rights issue. It had issued and allotted 42.26 crore partly paid-up equity shares of a face value of Rs 10 each for cash at a price of Rs 1,257 per rights equity share in May last year"
2021-05-15,Reliance Industries informs about newspaper publication,https://www.moneyworks4me.com/company/news/index/id/413762,Reliance Industries informs about newspaper publication,Reliance Industries informs about newspaper publication. Reliance Industries informs about newspaper publication
2021-05-14,RIL’s arm working with Reliance Foundation to provide 300 free minutes of outgoing calls per month,https://www.moneyworks4me.com/company/news/index/id/413572,But this offer is not applicable on annual or JioPhone device bundled plans,RIL’s arm working with Reliance Foundation to provide 300 free minutes of outgoing calls per month. But this offer is not applicable on annual or JioPhone device bundled plans
2021-05-14,Reliance Industries moves up on the BSE,https://www.moneyworks4me.com/company/news/index/id/413575,The company’s telecom arm has added 42.66 lakh subscribers in February,Reliance Industries moves up on the BSE. The company’s telecom arm has added 42.66 lakh subscribers in February
2021-05-12,Reliance Industries declines even after its telecom arm adds 42.66 lakh subscribers in February,https://www.moneyworks4me.com/company/news/index/id/413402,The company’s total customer base has increased to 41.50 crore with market share of 35.54%,Reliance Industries declines even after its telecom arm adds 42.66 lakh subscribers in February. The company’s total customer base has increased to 41.50 crore with market share of 35.54%
2021-05-12,Reliance Industries’ telecom arm adds 42.66 lakh subscribers in February,https://www.moneyworks4me.com/company/news/index/id/413311,The company’s total customer base has increased to 41.50 crore with market share of 35.54%,Reliance Industries’ telecom arm adds 42.66 lakh subscribers in February. The company’s total customer base has increased to 41.50 crore with market share of 35.54%
2021-05-10,Reliance Industries rises on the BSE,https://www.moneyworks4me.com/company/news/index/id/412986,"Reliance Retail has been ranked 53rd in the list of Global Powers of Retailing, improvement from 56th earlier, according to the Deloitte report","Reliance Industries rises on the BSE. Reliance Retail has been ranked 53rd in the list of Global Powers of Retailing, improvement from 56th earlier, according to the Deloitte report"
2021-05-10,Reliance Industries’ arm ranked second fastest growing retailer in world,https://www.moneyworks4me.com/company/news/index/id/412976,"Reliance Retail has been ranked 53rd in the list of Global Powers of Retailing, improvement from 56th earlier, according to the Deloitte report","Reliance Industries’ arm ranked second fastest growing retailer in world. Reliance Retail has been ranked 53rd in the list of Global Powers of Retailing, improvement from 56th earlier, according to the Deloitte report"
2021-05-06,"Reliance Industries seeks permission to fly Israeli team to India to train, install rapid COVID-19 identification solution",https://www.moneyworks4me.com/company/news/index/id/412548,The experts from the Israeli medical technology company will guide Reliance&#039;s team in India in operating the innovative system developed by it to identify coronavirus carriers and patients,"Reliance Industries seeks permission to fly Israeli team to India to train, install rapid COVID-19 identification solution. The experts from the Israeli medical technology company will guide Reliance&#039;s team in India in operating the innovative system developed by it to identify coronavirus carriers and patients"
2021-05-05,Reliance Industries informs about loss of share certificates,https://www.moneyworks4me.com/company/news/index/id/412354,Reliance Industries informs about loss of share certificates,Reliance Industries informs about loss of share certificates. Reliance Industries informs about loss of share certificates
2021-05-03,Reliance Industries becomes country's largest producer of medical grade liquid oxygen,https://www.moneyworks4me.com/company/news/index/id/411898,"At its refinery-cum-petrochemical complex in Jamnagar and other facilities, the company now produces over 1,000 MT of medical grade liquid oxygen per day","Reliance Industries becomes country's largest producer of medical grade liquid oxygen. At its refinery-cum-petrochemical complex in Jamnagar and other facilities, the company now produces over 1,000 MT of medical grade liquid oxygen per day"
2021-05-01,Reliance Industries reports 2-fold jump in Q4 consolidated net profit,https://www.moneyworks4me.com/company/news/index/id/411874,"The company has reported a standalone net profit of Rs crore for the quarter ended March 31, 2021","Reliance Industries reports 2-fold jump in Q4 consolidated net profit. The company has reported a standalone net profit of Rs crore for the quarter ended March 31, 2021"
2020-05-22,"Reliance Industries moves up as KKR planning to invest Rs 11,367 crore in its arm",https://www.moneyworks4me.com/company/news/index/id/379865,This is KKR’s largest investment in Asia and will translate into a 2.32% equity stake in Jio Platforms on a fully diluted basis,"Reliance Industries moves up as KKR planning to invest Rs 11,367 crore in its arm. This is KKR’s largest investment in Asia and will translate into a 2.32% equity stake in Jio Platforms on a fully diluted basis"
2020-05-22,"KKR to invest Rs 11,367 crore in Reliance Industries’ arm",https://www.moneyworks4me.com/company/news/index/id/379862,This is KKR’s largest investment in Asia and will translate into a 2.32% equity stake in Jio Platforms on a fully diluted basis,"KKR to invest Rs 11,367 crore in Reliance Industries’ arm. This is KKR’s largest investment in Asia and will translate into a 2.32% equity stake in Jio Platforms on a fully diluted basis"
2020-05-20,"Reliance Industries soars on raising Rs 3,600 crore through NCDs",https://www.moneyworks4me.com/company/news/index/id/379765,These NCDs are proposed to be listed on Bombay Stock Exchange and the National Stock Exchange,"Reliance Industries soars on raising Rs 3,600 crore through NCDs. These NCDs are proposed to be listed on Bombay Stock Exchange and the National Stock Exchange"
2020-05-20,"Reliance Industries raises Rs 3,600 crore through NCDs",https://www.moneyworks4me.com/company/news/index/id/379755,These NCDs are proposed to be listed on Bombay Stock Exchange and the National Stock Exchange,"Reliance Industries raises Rs 3,600 crore through NCDs. These NCDs are proposed to be listed on Bombay Stock Exchange and the National Stock Exchange"
2020-05-18,"General Atlantic to invest Rs 6,598.38 crore in Reliance Industries’ arm",https://www.moneyworks4me.com/company/news/index/id/379571,General Atlantic’s investment will translate into a 1.34% equity stake in Jio Platforms on a fully diluted basis,"General Atlantic to invest Rs 6,598.38 crore in Reliance Industries’ arm. General Atlantic’s investment will translate into a 1.34% equity stake in Jio Platforms on a fully diluted basis"
2020-05-14,"Reliance Industries raises Rs 10,060 crore through NCDs",https://www.moneyworks4me.com/company/news/index/id/379428,"The company has allotted 1,00,600 NCDs of the face value of Rs 10,00,000 each","Reliance Industries raises Rs 10,060 crore through NCDs. The company has allotted 1,00,600 NCDs of the face value of Rs 10,00,000 each"
2020-05-09,RIL’s telecom arm offers new top-up plans to support extra data usage,https://www.moneyworks4me.com/company/news/index/id/379185,"The company has revised the price for its annual plan to Rs 2,399","RIL’s telecom arm offers new top-up plans to support extra data usage. The company has revised the price for its annual plan to Rs 2,399"
2020-05-08,Reliance Industries trades higher on the bourses,https://www.moneyworks4me.com/company/news/index/id/379148,"Vista Equity Partners to invest Rs 11,367 crore into Reliance Industries’ arm","Reliance Industries trades higher on the bourses. Vista Equity Partners to invest Rs 11,367 crore into Reliance Industries’ arm"
2020-05-08,"Vista Equity Partners to invest Rs 11,367 crore into Reliance Industries’ arm",https://www.moneyworks4me.com/company/news/index/id/379116,This investment values Jio Platforms at an equity value of Rs 4.91 lakh crore and an enterprise value of Rs 5.16 lakh crore,"Vista Equity Partners to invest Rs 11,367 crore into Reliance Industries’ arm. This investment values Jio Platforms at an equity value of Rs 4.91 lakh crore and an enterprise value of Rs 5.16 lakh crore"
2020-05-05,Reliance Industries trades higher on the bourses,https://www.moneyworks4me.com/company/news/index/id/378932,The company to start new gas production from KG-D6 block by end June,Reliance Industries trades higher on the bourses. The company to start new gas production from KG-D6 block by end June
2020-05-04,Reliance Industries to start new gas production from KG-D6 block by end June,https://www.moneyworks4me.com/company/news/index/id/378884,"The company is working on three projects in the KG-D6 block, where production from older fields stopped in February this year","Reliance Industries to start new gas production from KG-D6 block by end June. The company is working on three projects in the KG-D6 block, where production from older fields stopped in February this year"
2020-05-04,Reliance Industries tumbles on reporting 39% fall in Q4 consolidated net profit,https://www.moneyworks4me.com/company/news/index/id/378856,Total income of the company decreased by 1.36% at Rs 143416 crore for Q4FY20,Reliance Industries tumbles on reporting 39% fall in Q4 consolidated net profit. Total income of the company decreased by 1.36% at Rs 143416 crore for Q4FY20
2020-05-04,"Silver Lake to invest Rs 5,656 crore in Reliance Industries’ arm",https://www.moneyworks4me.com/company/news/index/id/378831,"This investment by Silver Lake is further testament to the world-class digital platform that Jio has built, powered by leading technologies","Silver Lake to invest Rs 5,656 crore in Reliance Industries’ arm. This investment by Silver Lake is further testament to the world-class digital platform that Jio has built, powered by leading technologies"
2020-05-02,Reliance Industries reports 39% fall in Q4 consolidated net profit,https://www.moneyworks4me.com/company/news/index/id/378817,Total income of the company decreased by 1.36% at Rs 143416 crore for Q4FY20,Reliance Industries reports 39% fall in Q4 consolidated net profit. Total income of the company decreased by 1.36% at Rs 143416 crore for Q4FY20
2019-05-28,Reliance Industries’ telecom arm adds over 2.50 lakh subscribers in Punjab circle,https://www.moneyworks4me.com/company/news/index/id/342365,Reliance Jio continued to remain the market leader in Punjab with the highest customer base of 1.20 crore,Reliance Industries’ telecom arm adds over 2.50 lakh subscribers in Punjab circle. Reliance Jio continued to remain the market leader in Punjab with the highest customer base of 1.20 crore
2019-05-21,Reliance Industries rings loudly as its telecom arm adds 94.89 lakh subscribers in March,https://www.moneyworks4me.com/company/news/index/id/341623,"Following this, the company’s total customer base has increased to 30.67 crore with market share of 26.40%","Reliance Industries rings loudly as its telecom arm adds 94.89 lakh subscribers in March. Following this, the company’s total customer base has increased to 30.67 crore with market share of 26.40%"
2019-05-21,Reliance Industries’ telecom arm adds 94.89 lakh subscribers in March,https://www.moneyworks4me.com/company/news/index/id/341625,"Following this, the company’s total customer base has increased to 30.67 crore with market share of 26.40%","Reliance Industries’ telecom arm adds 94.89 lakh subscribers in March. Following this, the company’s total customer base has increased to 30.67 crore with market share of 26.40%"
2019-05-21,Reliance Industries becomes India’s biggest company by revenue,https://www.moneyworks4me.com/company/news/index/id/341624,RIL was also the most profitable company in the country with a net profit of more than double that of IOC in FY2019,Reliance Industries becomes India’s biggest company by revenue. RIL was also the most profitable company in the country with a net profit of more than double that of IOC in FY2019
2019-05-18,Reliance Industries informs about disclosure,https://www.moneyworks4me.com/company/news/index/id/341289,Reliance Industries informs about disclosure,Reliance Industries informs about disclosure. Reliance Industries informs about disclosure
2019-05-17,AG finds irregularities in grant of wi-fi contract to Reliance Jio in MP's chief electoral office,https://www.moneyworks4me.com/company/news/index/id/341203,"During the audit, it was found that the permission from the head of the department was not taken while awarding contract to the private firm","AG finds irregularities in grant of wi-fi contract to Reliance Jio in MP's chief electoral office. During the audit, it was found that the permission from the head of the department was not taken while awarding contract to the private firm"
2019-05-16,Reliance Industries gains on the BSE,https://www.moneyworks4me.com/company/news/index/id/341053,The company has reclaimed status of most-valued firm by market capitalization,Reliance Industries gains on the BSE. The company has reclaimed status of most-valued firm by market capitalization
2019-05-15,RIL moves out registered offices of its 5 subsidiaries to Ahmedabad over last year,https://www.moneyworks4me.com/company/news/index/id/340909,The list of companies includes four related with telecom arm Reliance Jio,RIL moves out registered offices of its 5 subsidiaries to Ahmedabad over last year. The list of companies includes four related with telecom arm Reliance Jio
2019-05-15,Reliance Industries reclaims status of most-valued firm by market capitalization,https://www.moneyworks4me.com/company/news/index/id/340867,"RIL&#039;s market capitalisation was at Rs 7,98,385.98 crore","Reliance Industries reclaims status of most-valued firm by market capitalization. RIL&#039;s market capitalisation was at Rs 7,98,385.98 crore"
2019-05-10,RIL surges with arm signing agreement to acquire stake in Hamleys Global Holdings,https://www.moneyworks4me.com/company/news/index/id/340354,This acquisition will catapult RBL to be a major player in the global toy retail industry,RIL surges with arm signing agreement to acquire stake in Hamleys Global Holdings. This acquisition will catapult RBL to be a major player in the global toy retail industry
2019-05-10,RIL’s arm to acquire stake in Hamleys Global Holdings,https://www.moneyworks4me.com/company/news/index/id/340353,This acquisition will catapult RBL to be a major player in the global toy retail industry,RIL’s arm to acquire stake in Hamleys Global Holdings. This acquisition will catapult RBL to be a major player in the global toy retail industry
2019-05-08,Reliance Industries’ telecom arm wins 3 awards at Golden Globe Tigers Award 2019,https://www.moneyworks4me.com/company/news/index/id/340089,Jio and two of its pioneering initiatives have been recognized for bringing unique and meaningful benefits of digital life to Indians,Reliance Industries’ telecom arm wins 3 awards at Golden Globe Tigers Award 2019. Jio and two of its pioneering initiatives have been recognized for bringing unique and meaningful benefits of digital life to Indians
2018-05-31,Reliance Industries trades in green on the bourses,https://www.moneyworks4me.com/company/news/index/id/296447,The company is reportedly planning to stop oil imports from Iran,Reliance Industries trades in green on the bourses. The company is reportedly planning to stop oil imports from Iran
2018-05-31,RIL to stop oil imports from Iran: Report,https://www.moneyworks4me.com/company/news/index/id/296371,This move came after US President Donald Trump discarded 2015 nuclear agreement this month,RIL to stop oil imports from Iran: Report. This move came after US President Donald Trump discarded 2015 nuclear agreement this month
2018-05-30,"RIL’s telecom arm to provide internet access for less than Rs 1,000 per month",https://www.moneyworks4me.com/company/news/index/id/296278,The company is offering free broadband with unlimited internet at a speed of 100 mbps,"RIL’s telecom arm to provide internet access for less than Rs 1,000 per month. The company is offering free broadband with unlimited internet at a speed of 100 mbps"
2018-05-21,RIL gets environmental clearance for expansion project in Maharashtra,https://www.moneyworks4me.com/company/news/index/id/295165,The proposal is to expand the gas cracker and downstream plants located at Nagothane village,RIL gets environmental clearance for expansion project in Maharashtra. The proposal is to expand the gas cracker and downstream plants located at Nagothane village
2018-05-18,RIL’s telecom arm enters into exclusive partnership with Screenz,https://www.moneyworks4me.com/company/news/index/id/294929,The partnership is to create India’s largest digital engagement platform,RIL’s telecom arm enters into exclusive partnership with Screenz. The partnership is to create India’s largest digital engagement platform
2018-05-11,RIL gains with telecom arm unveiling new postpaid offering,https://www.moneyworks4me.com/company/news/index/id/294209,"The all new ‘JioPostpaid’ will be available for subscription starting May 15, 2018","RIL gains with telecom arm unveiling new postpaid offering. The all new ‘JioPostpaid’ will be available for subscription starting May 15, 2018"
2018-05-11,RIL’s telecom arm unveils new postpaid offering,https://www.moneyworks4me.com/company/news/index/id/294200,"The all new ‘JioPostpaid’ will be available for subscription starting May 15, 2018","RIL’s telecom arm unveils new postpaid offering. The all new ‘JioPostpaid’ will be available for subscription starting May 15, 2018"
2018-05-04,RIL’s telecom arm launches world’s first AI based brand engagement platform,https://www.moneyworks4me.com/company/news/index/id/293409,This unique and innovative service uses a powerful artificial intelligence based platform to listen to user questions and respond to them in the most appropriate way,RIL’s telecom arm launches world’s first AI based brand engagement platform. This unique and innovative service uses a powerful artificial intelligence based platform to listen to user questions and respond to them in the most appropriate way
2017-05-22,RIL gains with arm Jio adding 5.8 mn users in March,https://www.moneyworks4me.com/company/news/index/id/252093,"The company has controlled 9.29% of the telecom market as of March 31, 2017","RIL gains with arm Jio adding 5.8 mn users in March. The company has controlled 9.29% of the telecom market as of March 31, 2017"
2017-05-22,RIL’s telecom arm Jio adds 5.8 mn users in March,https://www.moneyworks4me.com/company/news/index/id/252034,"The company has controlled 9.29% of the telecom market as of March 31, 2017","RIL’s telecom arm Jio adds 5.8 mn users in March. The company has controlled 9.29% of the telecom market as of March 31, 2017"
2017-05-05,RIL to sell natural gas to its own units in Gujarat and Maharashtra,https://www.moneyworks4me.com/company/news/index/id/250022,The price discovered is almost the same as $4.205 per mmBtu price fixed for RIL’s eastern offshore KG-D6 gas field for first five years of production,RIL to sell natural gas to its own units in Gujarat and Maharashtra. The price discovered is almost the same as $4.205 per mmBtu price fixed for RIL’s eastern offshore KG-D6 gas field for first five years of production
